Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"Cherry MX2A Switch Set","to make buttons work",1,42.00,"https://keychron.in/product/cherry-mx2a-switch-set/","Keychron"
"Keycaps","to mount above MX switches",1,12.60,"https://meckeys.com/shop/accessories/keyboard-accessories/keycaps/cherry-colour-pbt-keycap-set/","Meckeys"
"Raspberry Pi Pico","keyboard microcontroller",1,5.00,"https://robu.in/","Robu.in"
"Rotary Encoder (EC11)","volume/media control input",1,2.00,"https://robu.in/","Robu.in"
"Encoder Knob","mounts on rotary encoder",1,1.00,"https://robu.in/","Robu.in"
"1N4148 Diodes","key matrix isolation",100,3.00,"https://robu.in/","Robu.in"
"PCB","to fabricate the PCB",1,59.00,"https://robu.in/","Robu.in"
"PCB Components","headers, sockets and passive components",1,5.00,"https://robu.in/","Robu.in"
"MX Hotswap Sockets","tool-free switch replacement",70,15.00,"https://meckeys.com/","Meckeys"
"USB-C Cable","connect keyboard to computer",1,3.00,"https://robu.in/","Robu.in"
"Stabilizers","support larger keys",1,10.00,"https://meckeys.com/","Meckeys"
"Screws and Standoffs","assembly hardware",1,3.00,"https://robu.in/","Local Supplier"
"3D Printed Case","keyboard enclosure",1,20.00,"N/A","Local 3D Printing Service"
"3D Printed Encoder Knob","custom encoder knob",1,1.00,"N/A","Local 3D Printing Service"
"TOTAL","","",181.60,"",""
